C*******************************************************************************************************************
C
C                  PARAMETER DATA FILE
C
C
C             Project :  CALSIM 3.0 Development	  (Rice Water Use Model)
C             Filename:  Parameter.dat
C
C*******************************************************************************************************************
C                              File Description:
C
C   This data file contains the time-series operational and ag parameters 
C   used in the Rice Water Use Model.
C
C*******************************************************************************************************************
C                      Operation Parameters for Growing and Non-Growing Season
C
C   GSIPD      Growing Season Incremental Ponding Depth(inches)
C   GSFTD      Growing Season Flow-Through Depth(inches)
C   GSF        Growing Season Growing Season Flag
C   GSPFlg     Growing Season Ponding Flag
C   NGSDAW_NP  Non-Growing Season Non-Ponded DecompositionApplied Water(inches)
C   NGSIPD_P   Non-Growing Season Ponded DecompositionIncremental Ponding Depth(inches)
C   NGSFTD_P   Non-Growing Season Flow-Through Depth(inches)
C   NGSPFlg_P  Non-Growing Season Ponding Flag
C							
C-------------------------------------------------------------------------------------------------------------------
C      Jan    Feb   	Mar     Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
C	1	2	3	4	5	6	7	8	9	10	11	12
C-------------------------------------------------------------------------------------------------------------------
 	0	0	0	0	3	2	3	0       0	0	0	0	/ GSIPD     
 	0	0	0	0	7.8	0     1.8     1.8     0.9	0	0	0	/ GSFTD     
 	0	0	0	0	0.67	1	1	1     1.0	0	0	0	/ GSF       
 	0	0	0	0	0.5	1	1	1     1.0	0	0	0	/ GSPFlg    
 	0	0	0	0	0	0	0	0	0	6	3	0	/ NGSDAW_NP 
 	0	0	0	0	0	0	0	0	0	3	3	2	/ NGSIPD_P  
      0.45    	0	0	0	0	0	0	0	0     0.45     0.9     0.9	/ NGSFTD_P  
 	1     0.5       0       0	0	0	0	0	0     0.5	1	1 	/ NGSPFlg_P 
C*******************************************************************************************************************
C                      Crop Coefficients
C
C   GSCC       Growing Season Crop Coefficient
C   GSSEC      Growing Season Soil Evaporation Coefficient
C   NGSDHC_P   Non-Growing Season Decomposition Ponded Habitat Coefficient
C   NGSDSEC_P  Non-Growing Season Decomposition Ponded Soil Evaporation Coefficient
C   NGSDSEC_NP Non-Growing Season Decomposition Non-Ponded Soil Evaporation Coefficient
C   NGSNDSEC   Non-Growing Season Non-Decomposition Soil Evaporation Coefficient
C
C-------------------------------------------------------------------------------------------------------------------
C      Jan    Feb   	Mar     Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
C         1	2	3	4	5	6	7	8	9	10	11	12
C-------------------------------------------------------------------------------------------------------------------
          0	0	0 	0	1.20	1.17	1.09	1.05	0.97	0	0	0	/ GSCC      
          0	0	0 	0 	1 	0 	0 	0 	0	0	0	0	/ GSSEC     
          1.2	1.2 	0 	0 	0 	0 	0 	0 	0	1.2	1.2	1.2	/ NGSDHC_P  
          0	1	1 	1 	0 	0 	0 	0 	0 	0 	0 	0	/ NGSDSEC_P 
          1	1	1 	1 	0 	0 	0 	0 	0 	1 	1 	1	/ NGSDSEC_NP
          1	1	1 	1 	0 	0 	0 	0 	0 	1 	1 	1	/ NGSNDSEC  
C-------------------------------------------------------------------------------------------------------------------
     0.20			/ASMoist, g2, Available Soild Moisture
     18.00			/EffRtDpth, g3, Effective Rooting Depth (in)
     6.00			/SoilEvapLayer, g4, Soild SurfaceEvaporation Layer (in)
C----------------------------------------------------------------------------
C    Not_USED        DP       LatFlow   PAD_P     PAD_NP
C   Rice Acres   Deep Perc   Lateral Fl Current   Level Decomp        Demand
C    Existing    (in/month) (in/month)  Ponded    Non-Ponded           Unit
C----------------------------------------------------------------------------
        0.00        0.45      2.55     0.35      0.1       /1      02_NA
        0.00        0.45      2.55     0.35      0.1       /2      02_PA
        0.00        0.45      2.55     0.35      0.1       /3      02_SA
        0.00        0.45      2.55     0.35      0.1       /4      03_NA
        0.00        0.45      2.55     0.35      0.1       /5      03_PA
        0.00        0.45      2.55     0.35      0.1       /6      03_SA
     1115.60        0.45      2.55     0.35      0.1       /7      04_NA
      687.02        0.45      2.55     0.35      0.1       /8      04_PA1
        0.00        0.45      2.55     0.35      0.1       /9      04_PA2
        0.00        0.45      2.55     0.35      0.1       /10     05_NA
        0.00        0.45      2.55     0.35      0.1       /11     06_NA
        0.00        0.45      2.55     0.35      0.1       /12     06_PA
     1467.97        0.45      2.55     0.35      0.1       /13     07N_NA
     6882.23        0.45      2.55     0.35      0.1       /14     07N_PA
      107.58        0.45      2.55     0.35      0.1       /15     07S_NA
     2152.79        0.45      2.55     0.35      0.1       /16     07S_PA
     5364.93        0.45      2.55     0.35      0.1       /17     08N_NA
     3393.18        0.45      2.55     0.35      0.1       /18     08N_PA
       30.38        0.45      2.55     0.35      0.1       /21     08N_PR1
       23.52        0.45      2.55     0.35      0.1       /22     08N_PR2
    27075.30        0.45      2.55     0.35      0.1       /19     08N_SA1
    58315.36        0.45      2.55     0.35      0.1       /20     08N_SA2
     3585.99        0.45      2.55     0.35      0.1       /23     08S_NA1
     1327.60        0.45      2.55     0.35      0.1       /24     08S_NA2
    16504.52        0.45      2.55     0.35      0.1       /25     08S_PA
       28.04        0.45      2.55     0.35      0.1       /29     08S_PR
     9881.96        0.45      2.55     0.35      0.1       /26     08S_SA1
    41420.41        0.45      2.55     0.35      0.1       /27     08S_SA2
    29068.95        0.45      2.55     0.35      0.1       /28     08S_SA3
     6042.35        0.45      2.55     0.70      0.1       /30     09_NA
        3.36        0.45      2.55     0.70      0.1       /33     09_PR
     1191.57        0.45      2.55     0.70      0.1       /31     09_SA1
    16692.07        0.45      2.55     0.70      0.1       /32     09_SA2
     8973.27        0.45      2.55     0.70      0.1       /34     10_NA
     4860.98        0.45      2.55     0.70      0.1       /35     11_NA
     3201.87        0.45      2.55     0.70      0.1       /40     11_PR
    43910.46        0.45      2.55     0.70      0.1       /36     11_SA1
    28255.46        0.45      2.55     0.70      0.1       /37     11_SA2
    25806.35        0.45      2.55     0.70      0.1       /38     11_SA3
    14077.97        0.45      2.55     0.70      0.1       /39     11_SA4
     3295.35        0.45      2.55     0.70      0.1       /41     12_NA
        0.00        0.45      2.55     0.70      0.1       /42     12_SA
        0.00        0.45      2.55     0.70      0.1       /43     13_NA
     3062.41        0.45      2.55     0.70      0.1       /44     14_NA
      355.00        0.45      2.55     0.70      0.1       /45     15N_NA1
    18027.81        0.45      2.55     0.70      0.1       /46     15N_NA2
        0.00        0.45      2.55     0.70      0.1       /47     15N_SA
      950.32        0.45      2.55     0.70      0.1       /48     15S_NA1
    14171.97        0.45      2.55     0.70      0.1       /49     15S_NA2
      903.80        0.45      2.55     0.70      0.1       /50     15S_SA
      143.01        0.45      2.55     0.70      0.1       /51     16_NA1
     2196.59        0.45      2.55     0.70      0.1       /52     16_NA2
       99.29        0.45      2.55     0.70      0.1       /53     16_PA
     2182.80        0.45      2.55     0.70      0.1       /54     16_SA
     2673.17        0.45      2.55     0.70      0.1       /55     17N_NA
      125.58        0.45      2.55     0.70      0.1       /56     17N_NR
       40.42        0.45      2.55     0.70      0.1       /57     17N_PR
     4430.26        0.45      2.55     0.55      0.1       /58     17S_NA
